order_date,order_id,region,city,product_category,product,sales_channel,customer_segment,sales_rep,units_sold,unit_price,discount_pct,revenue,profit_margin_pct,profit
2025-01-01,ORD-0349,North,Viana do Castelo,Electronics,Laptop,Partner,Enterprise,Tiago,3,1253.67,0.0,3761.01,0.14,526.54
2025-01-03,ORD-0266,Central,Cascais,Home,Coffee Machine,Retail,Enterprise,Diogo,11,151.08,0.12,1462.45,0.24,350.99
2025-01-03,ORD-0012,North,Viana do Castelo,Fitness,Dumbbells,Online,SMB,Marta,3,110.46,0.08,304.87,0.34,103.66
2025-01-03,ORD-0250,West,Leiria,Home,Coffee Machine,Partner,Enterprise,Tiago,7,159.79,0.12,984.31,0.33,324.82
2025-01-04,ORD-0087,South,Setúbal,Home,Desk Lamp,Retail,SMB,Joao,10,54.1,0.12,476.08,0.14,66.65
2025-01-04,ORD-0270,East,Guarda,Home,Coffee Machine,Partner,SMB,Joao,9,151.62,0.12,1200.83,0.26,312.22
2025-01-04,ORD-0059,West,Coimbra,Electronics,Headphones,Retail,Enterprise,Tiago,12,178.14,0.03,2073.55,0.34,705.01
2025-01-04,ORD-0022,North,Porto,Home,Coffee Machine,Retail,SMB,Diogo,7,151.41,0.0,1059.87,0.12,127.18
2025-01-04,ORD-0190,East,Guarda,Home,Office Chair,Partner,Enterprise,Marta,7,272.29,0.1,1715.43,0.24,411.7
2025-01-05,ORD-0261,North,Porto,Travel,Noise Cancelling Earbuds,Online,SMB,Diogo,12,233.45,0.03,2717.36,0.21,570.65
2025-01-05,ORD-0203,South,Faro,Electronics,Laptop,Partner,Consumer,Tiago,10,1239.03,0.12,10903.46,0.13,1417.45
2025-01-06,ORD-0171,North,Braga,Travel,Backpack,Online,Enterprise,Joao,1,91.68,0.0,91.68,0.3,27.5
2025-01-06,ORD-0198,West,Coimbra,Electronics,Tablet,Partner,Consumer,Ana,7,670.84,0.05,4461.09,0.28,1249.11
2025-01-06,ORD-0292,North,Porto,Travel,Backpack,Online,SMB,Bruno,1,88.17,0.08,81.12,0.4,32.45
2025-01-08,ORD-0155,South,Beja,Travel,Suitcase,Online,Consumer,Diogo,11,136.91,0.05,1430.71,0.4,572.28
2025-01-08,ORD-0290,West,Coimbra,Home,Desk Lamp,Retail,Consumer,Carla,2,51.14,0.0,102.28,0.35,35.8
2025-01-08,ORD-0142,East,Castelo Branco,Fitness,Yoga Mat,Online,Consumer,Ines,8,36.85,0.12,259.42,0.35,90.8
2025-01-09,ORD-0156,Central,Lisbon,Travel,Adapter,Retail,SMB,Bruno,10,25.12,0.03,243.66,0.24,58.48
2025-01-10,ORD-0360,Central,Cascais,Electronics,Laptop,Partner,Enterprise,Ines,9,1143.72,0.1,9264.13,0.32,2964.52
2025-01-10,ORD-0279,Central,Cascais,Travel,Backpack,Retail,Consumer,Marta,12,91.52,0.05,1043.33,0.14,146.07
2025-01-11,ORD-0033,East,Castelo Branco,Home,Desk Lamp,Retail,Enterprise,Marta,10,51.96,0.12,457.25,0.4,182.9
2025-01-12,ORD-0204,West,Coimbra,Home,Office Chair,Online,Consumer,Ines,4,283.41,0.12,997.6,0.29,289.3
2025-01-12,ORD-0222,North,Viana do Castelo,Fitness,Treadmill,Online,SMB,Ana,4,848.76,0.1,3055.54,0.37,1130.55
2025-01-12,ORD-0166,Central,Sintra,Home,Coffee Machine,Partner,Enterprise,Ana,8,161.17,0.12,1134.64,0.31,351.74
2025-01-13,ORD-0307,West,Coimbra,Travel,Backpack,Retail,SMB,Marta,6,93.11,0.1,502.79,0.37,186.03
2025-01-14,ORD-0069,South,Faro,Fitness,Treadmill,Online,Consumer,Marta,10,941.87,0.1,8476.83,0.19,1610.6
2025-01-14,ORD-0312,East,Castelo Branco,Travel,Suitcase,Retail,Enterprise,Tiago,4,129.38,0.0,517.52,0.17,87.98
2025-01-15,ORD-0298,South,Beja,Travel,Adapter,Online,Consumer,Diogo,10,26.22,0.05,249.09,0.33,82.2
2025-01-15,ORD-0300,South,Beja,Home,Desk Lamp,Partner,SMB,Ana,6,52.37,0.1,282.8,0.16,45.25
2025-01-16,ORD-0199,North,Braga,Electronics,Monitor,Retail,Consumer,Carla,11,327.47,0.12,3169.91,0.25,792.48
2025-01-16,ORD-0018,South,Faro,Electronics,Monitor,Online,Enterprise,Diogo,5,319.25,0.12,1404.7,0.28,393.32
2025-01-17,ORD-0149,West,Leiria,Fitness,Yoga Mat,Online,Consumer,Ana,6,35.09,0.05,200.01,0.42,84.0
2025-01-17,ORD-0245,Central,Lisbon,Home,Air Purifier,Retail,Consumer,Tiago,2,215.74,0.05,409.91,0.27,110.68
2025-01-19,ORD-0271,North,Viana do Castelo,Electronics,Laptop,Retail,Consumer,Ana,1,1201.27,0.08,1105.17,0.31,342.6
2025-01-19,ORD-0162,South,Setúbal,Electronics,Headphones,Retail,Enterprise,Joao,3,184.03,0.1,496.88,0.17,84.47
2025-01-19,ORD-0074,North,Porto,Fitness,Dumbbells,Retail,Consumer,Tiago,12,123.83,0.05,1411.66,0.4,564.66
2025-01-19,ORD-0337,West,Leiria,Electronics,Headphones,Partner,SMB,Marta,1,169.56,0.03,164.47,0.18,29.6
2025-01-21,ORD-0015,North,Viana do Castelo,Travel,Suitcase,Partner,Consumer,Carla,11,150.01,0.08,1518.1,0.17,258.08
2025-01-21,ORD-0025,South,Faro,Electronics,Tablet,Retail,Consumer,Diogo,10,602.13,0.1,5419.17,0.14,758.68
2025-01-21,ORD-0224,Central,Cascais,Fitness,Treadmill,Online,SMB,Diogo,2,915.14,0.05,1738.77,0.3,521.63
2025-01-21,ORD-0006,South,Faro,Travel,Adapter,Retail,Enterprise,Joao,3,24.42,0.05,69.6,0.32,22.27
2025-01-21,ORD-0220,North,Porto,Travel,Noise Cancelling Earbuds,Retail,Enterprise,Tiago,1,202.73,0.12,178.4,0.17,30.33
2025-01-23,ORD-0254,West,Leiria,Home,Office Chair,Partner,Enterprise,Joao,12,285.95,0.1,3088.26,0.17,525.0
